Entity,Code,Year,Gini coefficient (2021 prices),World regions according to OWID
Afghanistan,AFG,2023,,Asia
Aland Islands,ALA,2023,,Europe
Albania,ALB,1996,0.27010342,
Albania,ALB,2002,0.3173898,
Albania,ALB,2005,0.30595654,
Albania,ALB,2008,0.2998467,
Albania,ALB,2012,0.28960484,
Albania,ALB,2014,0.34598896,
Albania,ALB,2015,0.32753733,
Albania,ALB,2016,0.33736297,
Albania,ALB,2017,0.33055663,
Albania,ALB,2018,0.30148283,
Albania,ALB,2019,0.30115768,
Albania,ALB,2020,0.2941963,
Albania,ALB,2023,,Europe
Algeria,DZA,1988,0.37356994,
Algeria,DZA,1995,0.35330054,
Algeria,DZA,2011,0.27615732,
Algeria,DZA,2023,,Africa
American Samoa,ASM,2023,,Oceania
Andorra,AND,2023,,Europe
Angola,AGO,2000,0.5194515,
Angola,AGO,2008,0.42715514,
Angola,AGO,2018,0.51264286,
Angola,AGO,2023,,Africa
Anguilla,AIA,2023,,North America
Antigua and Barbuda,ATG,2023,,North America
Argentina,ARG,2023,,South America
Argentina (urban),,1980,0.4083086,
Argentina (urban),,1986,0.42797506,
Argentina (urban),,1987,0.4526729,
Argentina (urban),,1991,0.46754274,
Argentina (urban),,1992,0.45454842,
Argentina (urban),,1993,0.44843096,
Argentina (urban),,1994,0.4589804,
Argentina (urban),,1995,0.48878098,
Argentina (urban),,1996,0.49490517,
Argentina (urban),,1997,0.49085242,
Argentina (urban),,1998,0.50712705,
Argentina (urban),,1999,0.49765623,
Argentina (urban),,2000,0.5103796,
Argentina (urban),,2001,0.5329304,
Argentina (urban),,2002,0.5375955,
Argentina (urban),,2003,0.50994456,
Argentina (urban),,2004,0.48483533,
Argentina (urban),,2005,0.47810286,
Argentina (urban),,2006,0.46444497,
Argentina (urban),,2007,0.46282586,
Argentina (urban),,2008,0.44986764,
Argentina (urban),,2009,0.43758938,
Argentina (urban),,2010,0.43676555,
Argentina (urban),,2011,0.4273792,
Argentina (urban),,2012,0.41437364,
Argentina (urban),,2013,0.4108646,
Argentina (urban),,2014,0.41822484,
Argentina (urban),,2016,0.42345008,
Argentina (urban),,2017,0.41434798,
Argentina (urban),,2018,0.4171897,
Argentina (urban),,2019,0.43314135,
Argentina (urban),,2020,0.42743686,
Argentina (urban),,2021,0.4244556,
Argentina (urban),,2022,0.4073646,
Argentina (urban),,2023,0.42390975,
Argentina (urban),,2024,0.42353317,
Armenia,ARM,1999,0.36219725,
Armenia,ARM,2001,0.3536436,
Armenia,ARM,2002,0.34779674,
Armenia,ARM,2003,0.33028087,
Armenia,ARM,2004,0.37505633,
Armenia,ARM,2005,0.35992354,
Armenia,ARM,2006,0.29709986,
Armenia,ARM,2007,0.31226057,
Armenia,ARM,2008,0.2918814,
Armenia,ARM,2009,0.2801588,
Armenia,ARM,2010,0.29992583,
Armenia,ARM,2011,0.29352945,
Armenia,ARM,2012,0.29602262,
Armenia,ARM,2013,0.30579662,
Armenia,ARM,2014,0.3148329,
Armenia,ARM,2015,0.32356772,
Armenia,ARM,2016,0.32547948,
Armenia,ARM,2017,0.3362184,
Armenia,ARM,2018,0.344335,
Armenia,ARM,2019,0.30031213,
Armenia,ARM,2020,0.25131604,
Armenia,ARM,2021,0.2794013,
Armenia,ARM,2022,0.27945295,
Armenia,ARM,2023,0.2715465,Asia
Aruba,ABW,2023,,North America
Australia,AUS,1981,0.31324694,
Australia,AUS,1985,0.3249635,
Australia,AUS,1989,0.33151868,
Australia,AUS,1995,0.325785,
Australia,AUS,2001,0.33461928,
Australia,AUS,2003,0.3349675,
Australia,AUS,2004,0.3305572,
Australia,AUS,2008,0.3542851,
Australia,AUS,2010,0.34656727,
Australia,AUS,2014,0.34398162,
Australia,AUS,2016,0.33685187,
Australia,AUS,2018,0.34332526,
Australia,AUS,2020,0.33829018,
Australia,AUS,2023,,Oceania
Austria,AUT,1994,0.3082802,
Austria,AUT,1995,0.29914328,
Austria,AUT,1996,0.29317808,
Austria,AUT,1997,0.29065368,
Austria,AUT,1998,0.31340772,
Austria,AUT,1999,0.2967054,
Austria,AUT,2000,0.28964692,
Austria,AUT,2003,0.29465628,
Austria,AUT,2004,0.29788846,
Austria,AUT,2005,0.28715208,
Austria,AUT,2006,0.2958756,
Austria,AUT,2007,0.3057945,
Austria,AUT,2008,0.30437094,
Austria,AUT,2009,0.31494907,
Austria,AUT,2010,0.30251664,
Austria,AUT,2011,0.30801058,
Austria,AUT,2012,0.30475616,
Austria,AUT,2013,0.30752906,
Austria,AUT,2014,0.30535373,
Austria,AUT,2015,0.3053083,
Austria,AUT,2016,0.3079514,
Austria,AUT,2017,0.2973693,
Austria,AUT,2018,0.3084742,
Austria,AUT,2019,0.30210516,
Austria,AUT,2020,0.29800698,
Austria,AUT,2021,0.30701682,
Austria,AUT,2022,0.3089293,
Austria,AUT,2023,0.3120468,Europe
Austria-Hungary,OWID_AUH,2023,,Europe
Azerbaijan,AZE,1995,0.34648824,
Azerbaijan,AZE,2001,0.36454937,
Azerbaijan,AZE,2002,0.25277665,
Azerbaijan,AZE,2003,0.2683288,
Azerbaijan,AZE,2004,0.26621592,
Azerbaijan,AZE,2005,0.26554906,
Azerbaijan,AZE,2023,,Asia
Bahamas,BHS,2023,,North America
Bahrain,BHR,2023,,Asia
Bangladesh,BGD,1983,0.2587649,
Bangladesh,BGD,1985,0.26917496,
Bangladesh,BGD,1988,0.28846547,
Bangladesh,BGD,1991,0.27570805,
Bangladesh,BGD,1995,0.32942984,
Bangladesh,BGD,2000,0.33406532,
Bangladesh,BGD,2005,0.33201292,
Bangladesh,BGD,2010,0.3213032,
Bangladesh,BGD,2016,0.32385272,
Bangladesh,BGD,2022,0.30930254,
Bangladesh,BGD,2023,,Asia
Barbados,BRB,2016,0.34068036,
Barbados,BRB,2023,,North America
Belarus,BLR,1998,0.3201835,
Belarus,BLR,1999,0.31738147,
Belarus,BLR,2000,0.31167483,
Belarus,BLR,2001,0.30576724,
Belarus,BLR,2002,0.30336243,
Belarus,BLR,2003,0.28821012,
Belarus,BLR,2004,0.26479885,
Belarus,BLR,2005,0.2755341,
Belarus,BLR,2006,0.28275442,
Belarus,BLR,2007,0.2961238,
Belarus,BLR,2008,0.27826044,
Belarus,BLR,2009,0.27689305,
Belarus,BLR,2010,0.285666,
Belarus,BLR,2011,0.2715255,
Belarus,BLR,2012,0.26526198,
Belarus,BLR,2013,0.26575053,
Belarus,BLR,2014,0.27176666,
Belarus,BLR,2015,0.25633225,
Belarus,BLR,2016,0.25306615,
Belarus,BLR,2017,0.2544457,
Belarus,BLR,2018,0.25240526,
Belarus,BLR,2019,0.25277847,
Belarus,BLR,2020,0.24383356,
Belarus,BLR,2023,,Europe
Belgium,BEL,1985,0.2520385,
Belgium,BEL,1988,0.25711665,
Belgium,BEL,1992,0.24946482,
Belgium,BEL,1995,0.2841082,
Belgium,BEL,1997,0.26832196,
Belgium,BEL,2000,0.33135977,
Belgium,BEL,2003,0.28143343,
Belgium,BEL,2004,0.3054143,
Belgium,BEL,2005,0.2933692,
Belgium,BEL,2006,0.28054053,
Belgium,BEL,2007,0.2923768,
Belgium,BEL,2008,0.2837373,
Belgium,BEL,2009,0.2855119,
Belgium,BEL,2010,0.2837483,
Belgium,BEL,2011,0.2806044,
Belgium,BEL,2012,0.274905,
Belgium,BEL,2013,0.27668858,
Belgium,BEL,2014,0.28134012,
Belgium,BEL,2015,0.2772931,
Belgium,BEL,2016,0.2758074,
Belgium,BEL,2017,0.2738765,
Belgium,BEL,2018,0.272142,
Belgium,BEL,2019,0.27219555,
Belgium,BEL,2020,0.2595828,
Belgium,BEL,2021,0.26577634,
Belgium,BEL,2022,0.26375556,
Belgium,BEL,2023,0.26823103,Europe
Belize,BLZ,1995,0.57547647,
Belize,BLZ,2018,0.39949584,
Belize,BLZ,2023,,North America
Benin,BEN,2003,0.38577467,
Benin,BEN,2011,0.43439275,
Benin,BEN,2015,0.4760386,
Benin,BEN,2018,0.37948644,
Benin,BEN,2021,0.34395808,
Benin,BEN,2023,,Africa
Bermuda,BMU,2023,,North America
Bhutan,BTN,2003,0.40898,
Bhutan,BTN,2007,0.3809077,
Bhutan,BTN,2012,0.38809326,
Bhutan,BTN,2017,0.3744141,
Bhutan,BTN,2022,0.2845992,
Bhutan,BTN,2023,,Asia
Bolivia,BOL,1997,0.58141714,
Bolivia,BOL,1999,0.58036,
Bolivia,BOL,2000,0.6156524,
Bolivia,BOL,2001,0.5736684,
Bolivia,BOL,2002,0.59274924,
Bolivia,BOL,2004,0.5500035,
Bolivia,BOL,2005,0.58518565,
Bolivia,BOL,2006,0.5666029,
Bolivia,BOL,2007,0.54532504,
Bolivia,BOL,2008,0.5081494,
Bolivia,BOL,2009,0.49220297,
Bolivia,BOL,2011,0.46080363,
Bolivia,BOL,2012,0.4657997,
Bolivia,BOL,2013,0.4758858,
Bolivia,BOL,2014,0.4782917,
Bolivia,BOL,2015,0.46731645,
Bolivia,BOL,2016,0.45240822,
Bolivia,BOL,2017,0.44617796,
Bolivia,BOL,2018,0.42579088,
Bolivia,BOL,2019,0.41644302,
Bolivia,BOL,2020,0.4364544,
Bolivia,BOL,2021,0.40913323,
Bolivia,BOL,2022,0.41208377,
Bolivia,BOL,2023,0.42050114,South America
Bolivia (urban),,1990,0.42035723,
Bolivia (urban),,1992,0.49072397,
Bonaire Sint Eustatius and Saba,BES,2023,,North America
Bosnia and Herzegovina,BIH,2001,0.2996642,
Bosnia and Herzegovina,BIH,2004,0.3403749,
Bosnia and Herzegovina,BIH,2007,0.33061588,
Bosnia and Herzegovina,BIH,2011,0.33030185,
Bosnia and Herzegovina,BIH,2023,,Europe
Botswana,BWA,1985,0.5421201,
Botswana,BWA,1993,0.6014759,
Botswana,BWA,2002,0.6153865,
Botswana,BWA,2009,0.5693109,
Botswana,BWA,2015,0.5490736,
Botswana,BWA,2023,,Africa
Brazil,BRA,1981,0.57864046,
Brazil,BRA,1982,0.58356094,
Brazil,BRA,1983,0.58903974,
Brazil,BRA,1984,0.5829912,
Brazil,BRA,1985,0.55526423,
Brazil,BRA,1986,0.58432895,
Brazil,BRA,1987,0.5964315,
Brazil,BRA,1988,0.613723,
Brazil,BRA,1989,0.63245785,
Brazil,BRA,1990,0.60450876,
Brazil,BRA,1992,0.5310342,
Brazil,BRA,1993,0.60066897,
Brazil,BRA,1995,0.59531194,
Brazil,BRA,1996,0.5983838,
Brazil,BRA,1997,0.5975472,
Brazil,BRA,1998,0.59566253,
Brazil,BRA,1999,0.5895122,
Brazil,BRA,2001,0.5840288,
Brazil,BRA,2002,0.5810567,
Brazil,BRA,2003,0.57553387,
Brazil,BRA,2004,0.56471825,
Brazil,BRA,2005,0.5631013,
Brazil,BRA,2006,0.5564221,
Brazil,BRA,2007,0.54919165,
Brazil,BRA,2008,0.5403759,
Brazil,BRA,2009,0.53682,
Brazil,BRA,2011,0.5294177,
Brazil,BRA,2012,0.5343539,
Brazil,BRA,2013,0.526834,
Brazil,BRA,2014,0.5202971,
Brazil,BRA,2015,0.51926535,
Brazil,BRA,2016,0.5336719,
Brazil,BRA,2017,0.5332116,
Brazil,BRA,2018,0.5388841,
Brazil,BRA,2019,0.5350941,
Brazil,BRA,2020,0.4890203,
Brazil,BRA,2021,0.52938807,
Brazil,BRA,2022,0.52015305,
Brazil,BRA,2023,0.5163944,South America
British Indian Ocean Territory,IOT,2023,,Asia
British Virgin Islands,VGB,2023,,North America
Brunei,BRN,2023,,Asia
Bulgaria,BGR,1992,0.3071431,
Bulgaria,BGR,2006,0.35688826,
Bulgaria,BGR,2007,0.36095878,
Bulgaria,BGR,2008,0.3357257,
Bulgaria,BGR,2009,0.33823076,
Bulgaria,BGR,2010,0.35653466,
Bulgaria,BGR,2011,0.34274977,
Bulgaria,BGR,2012,0.36010975,
Bulgaria,BGR,2013,0.36570895,
Bulgaria,BGR,2014,0.37415853,
Bulgaria,BGR,2015,0.38564378,
Bulgaria,BGR,2016,0.40589675,
Bulgaria,BGR,2017,0.40378964,
Bulgaria,BGR,2018,0.41284075,
Bulgaria,BGR,2019,0.40271118,
Bulgaria,BGR,2020,0.40523154,
Bulgaria,BGR,2021,0.39005446,
Bulgaria,BGR,2022,0.38201502,
Bulgaria,BGR,2023,0.39470536,Europe
Burkina Faso,BFA,1994,0.48017555,
Burkina Faso,BFA,1998,0.4986853,
Burkina Faso,BFA,2003,0.4325115,
Burkina Faso,BFA,2009,0.397607,
Burkina Faso,BFA,2014,0.35301226,
Burkina Faso,BFA,2018,0.43016732,
Burkina Faso,BFA,2021,0.37391287,
Burkina Faso,BFA,2023,,Africa
Burundi,BDI,1992,0.3333381,
Burundi,BDI,1998,0.42058137,
Burundi,BDI,2006,0.33359864,
Burundi,BDI,2013,0.38623977,
Burundi,BDI,2020,0.37456086,
Burundi,BDI,2023,,Africa
Cambodia,KHM,2023,,Asia
Cameroon,CMR,1996,0.44446746,
Cameroon,CMR,2001,0.42136794,
Cameroon,CMR,2007,0.42820063,
Cameroon,CMR,2014,0.46640873,
Cameroon,CMR,2021,0.42176074,
Cameroon,CMR,2023,,Africa
Canada,CAN,1971,0.37246722,
Canada,CAN,1973,0.34901816,
Canada,CAN,1975,0.34087202,
Canada,CAN,1977,0.33729297,
Canada,CAN,1979,0.33469138,
Canada,CAN,1981,0.3296308,
Canada,CAN,1982,0.32930598,
Canada,CAN,1984,0.33518428,
Canada,CAN,1985,0.33174872,
Canada,CAN,1986,0.31675813,
Canada,CAN,1987,0.31653872,
Canada,CAN,1988,0.3119787,
Canada,CAN,1989,0.31012514,
Canada,CAN,1990,0.31365356,
Canada,CAN,1991,0.3194339,
Canada,CAN,1992,0.31564316,
Canada,CAN,1993,0.31675923,
Canada,CAN,1994,0.31303805,
Canada,CAN,1995,0.31509578,
Canada,CAN,1996,0.32768053,
Canada,CAN,1997,0.33116943,
Canada,CAN,1998,0.33217245,
Canada,CAN,1999,0.33060935,
Canada,CAN,2000,0.33418295,
Canada,CAN,2001,0.33554783,
Canada,CAN,2002,0.3356031,
